"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.mayoclinic.org/diseases-conditions/end-stage-renal-disease/symptoms-causes/syc-20354532","text/html; charset=utf-8","200","OK","","","End-stage renal disease - Symptoms and causes - Mayo Clinic","59","558","Learn about end-stage renal disease (ESRD), kidney failure symptoms, kidney disease stages and treatments including kidney dialysis and kidney transplant.","154","994","","","End-stage renal disease","23","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/end-stage-renal-disease/symptoms-causes/syc-20354532","","","","","52144","1886","","1","","28","15","0.66","76","47","67","45","","","","","","https://www.mayoclinic.org/diseases-conditions/end-stage-renal-disease/symptoms-causes/syc-20354532"
"https://www.mayoclinic.org/diseases-conditions/brain-tumor/symptoms-causes/syc-20350084","text/html; charset=utf-8","200","OK","","","Brain tumor - Symptoms and causes - Mayo Clinic","47","447","Find out more about the different brain tumor types and treatments, including surgery, radiation therapy and chemotherapy.","122","782","","","Brain tumor","11","","0","Overview","8","Types","5","","","","https://www.mayoclinic.org/diseases-conditions/brain-tumor/symptoms-causes/syc-20350084","","","","","60423","2007","","1","","57","31","1.37","105","77","70","48","","","","","","https://www.mayoclinic.org/diseases-conditions/brain-tumor/symptoms-causes/syc-20350084"
"https://www.mayoclinic.org/diseases-conditions/hypertrophic-cardiomyopathy/symptoms-causes/syc-20350198","text/html; charset=utf-8","200","OK","","","Hypertrophic cardiomyopathy - Symptoms and causes - Mayo Clinic","63","603","Learn about this heart disorder in which the heart muscle becomes abnormally thick, which makes it harder for the heart to pump blood.","134","858","","","Hypertrophic cardiomyopathy","27","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/hypertrophic-cardiomyopathy/symptoms-causes/syc-20350198","","","","","58483","1965","","1","","46","27","1.19","90","62","69","46","","","","","","https://www.mayoclinic.org/diseases-conditions/hypertrophic-cardiomyopathy/symptoms-causes/syc-20350198"
"https://www.mayoclinic.org/diseases-conditions/diabetic-nephropathy/symptoms-causes/syc-20354556","text/html; charset=utf-8","200","OK","","","Diabetic nephropathy - Symptoms and causes - Mayo Clinic","56","531","Diabetic nephropathy is a common kidney disease in people with diabetes. Learn how treating your diabetes may help prevent serious damage to your kidneys.","154","1008","","","Diabetic nephropathy","20","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/diabetic-nephropathy/symptoms-causes/syc-20354556","","","","","53886","1934","","1","","27","15","0.66","73","44","71","47","","","","","","https://www.mayoclinic.org/diseases-conditions/diabetic-nephropathy/symptoms-causes/syc-20354556"
"https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669","text/html; charset=utf-8","200","OK","","","Colon cancer - Symptoms and causes - Mayo Clinic","48","460","Find out about symptoms and risk factors for colon cancer, also called colorectal cancer. Learn about treatment options, including minimally invasive surgery.","158","993","","","Colon cancer","12","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669","","","","","67832","2531","","1","","43","21","0.93","96","64","83","60","","","","","","https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669"
"https://www.mayoclinic.org/diseases-conditions/rectal-cancer/symptoms-causes/syc-20352884","text/html; charset=utf-8","200","OK","","","Rectal cancer - Symptoms and causes - Mayo Clinic","49","465","Rectal cancer — Learn about Mayo Clinic’s long record of excellence and innovation in treating this challenging type of cancer.","127","800","","","Rectal cancer","13","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/rectal-cancer/symptoms-causes/syc-20352884","","","","","54917","2107","","1","","29","15","0.66","81","51","70","47","","","","","","https://www.mayoclinic.org/diseases-conditions/rectal-cancer/symptoms-causes/syc-20352884"
"https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483","text/html; charset=utf-8","200","OK","","","Brain aneurysm - Symptoms and causes - Mayo Clinic","50","483","Learn about detection, diagnosis, treatment options and advances for brain aneurysm, including surgical clipping, endovascular coiling and flow diverters.","154","969","","","Brain aneurysm","14","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483","","","","","58456","2451","","1","","33","16","0.71","82","53","69","47","","","","","","https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483"
"https://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/syc-20352470","text/html; charset=utf-8","200","OK","","","Breast cancer - Symptoms and causes - Mayo Clinic","49","467","Breast cancer — Comprehensive overview covers prevention, symptoms, diagnosis and treatment of breast cancer.","109","732","","","Breast cancer","13","","0","Overview","8","Types","5","","","","https://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/syc-20352470","","","","","93906","3409","","1","","88","49","2.16","139","106","96","73","","","","","","https://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/syc-20352470"
"https://www.mayoclinic.org/diseases-conditions/body-lice/symptoms-causes/syc-20350310","text/html; charset=utf-8","200","OK","","","Body lice - Symptoms and causes - Mayo Clinic","45","423","Body lice are tiny insects that live in your clothing and feed on your blood. Find out how to treat and prevent this itchy nuisance of a bug.","141","859","","","Body lice","9","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/body-lice/symptoms-causes/syc-20350310","","","","","42070","1200","","2","","8","3","0.13","67","41","69","46","","","","","","https://www.mayoclinic.org/diseases-conditions/body-lice/symptoms-causes/syc-20350310"
"https://www.mayoclinic.org/diseases-conditions/esophagitis/symptoms-causes/syc-20361224","text/html; charset=utf-8","200","OK","","","Esophagitis - Symptoms and causes - Mayo Clinic","47","445","Learn more about the causes and treatment of inflammation of the esophagus.","75","499","","","Esophagitis","11","","0","Overview","8","Symptoms","8","","","","https://www.mayoclinic.org/diseases-conditions/esophagitis/symptoms-causes/syc-20361224","","","","","53246","2287","","2","","7","2","0.09","76","46","67","45","","","","","","https://www.mayoclinic.org/diseases-conditions/esophagitis/symptoms-causes/syc-20361224"
